,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
69,0,5.0,4.0,4.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4,
70,0,6.0,8.0,7.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4,
71,0,5.0,2.0,2.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4,
72,0,6.0,3.0,3.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4,
73,0,1.0,7.0,9.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4,
74,1,1.0,15.0,16.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4,
75,0,4.0,10.0,0.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4,
76,0,4.0,1.0,1.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4,
77,1,1.0,18.0,14.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4,
78,1,1.0,16.0,0.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4,
79,0,4.0,12.0,17.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4,
80,0,4.0,6.0,6.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
81,0,1.0,15.0,15.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
82,0,4.0,5.0,5.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
83,1,1.0,19.0,16.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
84,0,4.0,7.0,8.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
85,0,1.0,11.0,11.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
86,0,4.0,9.0,9.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
87,1,1.0,13.0,0.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
88,0,4.0,12.0,13.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
89,0,4.0,3.0,4.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
90,0,1.0,20.0,10.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
91,0,4.0,1.0,2.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
92,0,4.0,4.0,3.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
93,0,1.0,8.0,12.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
94,1,1.0,17.0,19.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
95,1,1.0,14.0,14.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
96,0,4.0,2.0,1.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
97,0,4.0,10.0,7.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
98,1,1.0,18.0,17.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
99,0,1.0,16.0,18.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3,
100,0,6.0,1.0,1.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
101,0,4.0,2.0,4.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
102,0,6.0,3.0,2.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
103,0,4.0,4.0,3.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
104,0,5.0,5.0,8.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
105,0,6.0,6.0,9.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
106,0,6.0,7.0,7.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
107,0,6.0,8.0,10.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
108,0,6.0,9.0,6.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
109,0,1.0,10.0,13.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
110,1,1.0,11.0,12.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
111,1,1.0,12.0,16.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
112,1,1.0,13.0,11.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
113,0,6.0,14.0,5.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
114,1,1.0,15.0,19.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
115,1,1.0,16.0,17.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
116,0,1.0,17.0,14.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
117,1,1.0,18.0,20.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
118,0,1.0,19.0,18.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
119,1,1.0,20.0,15.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6,
120,0,4.0,8.0,5.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
121,1,1.0,12.0,15.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
122,1,6.0,3.0,3.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
123,2,1.0,9.0,17.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
124,2,1.0,17.0,0.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
125,1,1.0,19.0,13.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
126,1,1.0,10.0,10.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
127,0,4.0,7.0,7.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
128,0,4.0,6.0,4.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
129,2,1.0,5.0,9.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
130,0,4.0,20.0,8.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
131,1,4.0,1.0,2.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
132,1,6.0,2.0,1.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
133,0,4.0,11.0,11.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
134,1,1.0,16.0,18.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
135,1,1.0,15.0,16.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
136,1,4.0,4.0,6.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
137,1,1.0,14.0,14.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
138,1,1.0,18.0,19.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
139,2,1.0,13.0,12.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6,
140,1,5.0,1.0,1.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
141,1,6.0,2.0,2.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
142,1,4.0,3.0,3.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
143,1,6.0,4.0,4.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
144,1,4.0,5.0,7.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
145,1,6.0,6.0,6.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
146,2,1.0,7.0,12.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
147,2,1.0,8.0,13.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
148,1,6.0,9.0,5.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
149,0,4.0,10.0,9.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
150,1,5.0,11.0,8.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
151,1,1.0,12.0,14.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
152,2,1.0,13.0,17.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
153,2,1.0,14.0,19.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
154,1,1.0,15.0,11.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
155,0,4.0,16.0,10.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
156,1,1.0,17.0,15.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
157,1,1.0,18.0,18.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
158,1,1.0,19.0,20.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
