,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year
7,MEDIUM,1.0,True,13.0,0.0,Spanish Grand Prix,2019
8,SOFT,4.0,False,12.0,13.0,Spanish Grand Prix,2019
9,SOFT,4.0,False,3.0,4.0,Spanish Grand Prix,2019
10,SOFT,1.0,True,20.0,10.0,Spanish Grand Prix,2019
11,SOFT,4.0,False,1.0,2.0,Spanish Grand Prix,2019
12,SOFT,4.0,False,4.0,3.0,Spanish Grand Prix,2019
13,SOFT,1.0,True,8.0,12.0,Spanish Grand Prix,2019
14,MEDIUM,1.0,True,17.0,19.0,Spanish Grand Prix,2019
15,MEDIUM,1.0,True,14.0,14.0,Spanish Grand Prix,2019
16,SOFT,4.0,False,2.0,1.0,Spanish Grand Prix,2019
17,SOFT,4.0,False,10.0,7.0,Spanish Grand Prix,2019
18,MEDIUM,1.0,True,18.0,17.0,Spanish Grand Prix,2019
19,SOFT,1.0,True,16.0,18.0,Spanish Grand Prix,2019
0,SOFT,6.0,False,1.0,1.0,Monaco Grand Prix,2019
1,SOFT,4.0,False,2.0,4.0,Monaco Grand Prix,2019
2,SOFT,6.0,False,3.0,2.0,Monaco Grand Prix,2019
3,SOFT,4.0,False,4.0,3.0,Monaco Grand Prix,2019
4,SOFT,5.0,False,5.0,8.0,Monaco Grand Prix,2019
5,SOFT,6.0,False,6.0,9.0,Monaco Grand Prix,2019
6,SOFT,6.0,False,7.0,7.0,Monaco Grand Prix,2019
7,SOFT,6.0,False,8.0,10.0,Monaco Grand Prix,2019
8,SOFT,6.0,False,9.0,6.0,Monaco Grand Prix,2019
9,SOFT,1.0,True,10.0,13.0,Monaco Grand Prix,2019
10,MEDIUM,1.0,True,11.0,12.0,Monaco Grand Prix,2019
11,MEDIUM,1.0,True,12.0,16.0,Monaco Grand Prix,2019
12,MEDIUM,1.0,True,13.0,11.0,Monaco Grand Prix,2019
13,SOFT,6.0,False,14.0,5.0,Monaco Grand Prix,2019
14,MEDIUM,1.0,True,15.0,19.0,Monaco Grand Prix,2019
15,MEDIUM,1.0,True,16.0,17.0,Monaco Grand Prix,2019
16,SOFT,1.0,True,17.0,14.0,Monaco Grand Prix,2019
17,MEDIUM,1.0,True,18.0,20.0,Monaco Grand Prix,2019
18,SOFT,1.0,True,19.0,18.0,Monaco Grand Prix,2019
19,MEDIUM,1.0,True,20.0,15.0,Monaco Grand Prix,2019
0,SOFT,4.0,False,8.0,5.0,Canadian Grand Prix,2019
1,MEDIUM,1.0,True,12.0,15.0,Canadian Grand Prix,2019
2,MEDIUM,6.0,False,3.0,3.0,Canadian Grand Prix,2019
3,HARD,1.0,True,9.0,17.0,Canadian Grand Prix,2019
4,HARD,1.0,True,17.0,0.0,Canadian Grand Prix,2019
5,MEDIUM,1.0,True,19.0,13.0,Canadian Grand Prix,2019
6,MEDIUM,1.0,True,10.0,10.0,Canadian Grand Prix,2019
7,SOFT,4.0,False,7.0,7.0,Canadian Grand Prix,2019
8,SOFT,4.0,False,6.0,4.0,Canadian Grand Prix,2019
9,HARD,1.0,True,5.0,9.0,Canadian Grand Prix,2019
10,SOFT,4.0,False,20.0,8.0,Canadian Grand Prix,2019
11,MEDIUM,4.0,False,1.0,2.0,Canadian Grand Prix,2019
12,MEDIUM,6.0,False,2.0,1.0,Canadian Grand Prix,2019
13,SOFT,4.0,False,11.0,11.0,Canadian Grand Prix,2019
14,MEDIUM,1.0,True,16.0,18.0,Canadian Grand Prix,2019
15,MEDIUM,1.0,True,15.0,16.0,Canadian Grand Prix,2019
16,MEDIUM,4.0,False,4.0,6.0,Canadian Grand Prix,2019
17,MEDIUM,1.0,True,14.0,14.0,Canadian Grand Prix,2019
18,MEDIUM,1.0,True,18.0,19.0,Canadian Grand Prix,2019
19,HARD,1.0,True,13.0,12.0,Canadian Grand Prix,2019
0,MEDIUM,5.0,False,1.0,1.0,French Grand Prix,2019
1,MEDIUM,6.0,False,2.0,2.0,French Grand Prix,2019
2,MEDIUM,4.0,False,3.0,3.0,French Grand Prix,2019
3,MEDIUM,6.0,False,4.0,4.0,French Grand Prix,2019
4,MEDIUM,4.0,False,5.0,7.0,French Grand Prix,2019
5,MEDIUM,6.0,False,6.0,6.0,French Grand Prix,2019
6,HARD,1.0,True,7.0,12.0,French Grand Prix,2019
7,HARD,1.0,True,8.0,13.0,French Grand Prix,2019
8,MEDIUM,6.0,False,9.0,5.0,French Grand Prix,2019
9,SOFT,4.0,False,10.0,9.0,French Grand Prix,2019
10,MEDIUM,5.0,False,11.0,8.0,French Grand Prix,2019
11,MEDIUM,1.0,True,12.0,14.0,French Grand Prix,2019
12,HARD,1.0,True,13.0,17.0,French Grand Prix,2019
13,HARD,1.0,True,14.0,19.0,French Grand Prix,2019
14,MEDIUM,1.0,True,15.0,11.0,French Grand Prix,2019
15,SOFT,4.0,False,16.0,10.0,French Grand Prix,2019
16,MEDIUM,1.0,True,17.0,15.0,French Grand Prix,2019
17,MEDIUM,1.0,True,18.0,18.0,French Grand Prix,2019
18,MEDIUM,1.0,True,19.0,20.0,French Grand Prix,2019
19,HARD,1.0,True,20.0,16.0,French Grand Prix,2019
0,MEDIUM,4.0,False,1.0,2.0,Austrian Grand Prix,2019
1,SOFT,4.0,False,2.0,1.0,Austrian Grand Prix,2019
2,MEDIUM,4.0,False,3.0,3.0,Austrian Grand Prix,2019
3,SOFT,4.0,False,4.0,9.0,Austrian Grand Prix,2019
4,MEDIUM,5.0,False,5.0,4.0,Austrian Grand Prix,2019
5,SOFT,4.0,False,6.0,5.0,Austrian Grand Prix,2019
6,SOFT,4.0,False,7.0,8.0,Austrian Grand Prix,2019
7,MEDIUM,1.0,True,8.0,19.0,Austrian Grand Prix,2019
8,SOFT,4.0,False,9.0,6.0,Austrian Grand Prix,2019
9,SOFT,4.0,False,10.0,7.0,Austrian Grand Prix,2019
10,MEDIUM,1.0,True,11.0,13.0,Austrian Grand Prix,2019
11,MEDIUM,1.0,True,12.0,12.0,Austrian Grand Prix,2019
12,MEDIUM,1.0,True,13.0,15.0,Austrian Grand Prix,2019
13,MEDIUM,1.0,True,14.0,14.0,Austrian Grand Prix,2019
14,MEDIUM,1.0,True,15.0,18.0,Austrian Grand Prix,2019
15,MEDIUM,1.0,True,16.0,11.0,Austrian Grand Prix,2019
16,MEDIUM,1.0,True,17.0,16.0,Austrian Grand Prix,2019
17,MEDIUM,1.0,True,18.0,0.0,Austrian Grand Prix,2019
18,SOFT,4.0,False,19.0,10.0,Austrian Grand Prix,2019
19,MEDIUM,1.0,True,20.0,17.0,Austrian Grand Prix,2019
0,MEDIUM,6.0,False,4.0,5.0,British Grand Prix,2019
1,MEDIUM,1.0,True,17.0,15.0,British Grand Prix,2019
2,SOFT,4.0,False,3.0,3.0,British Grand Prix,2019
3,MEDIUM,1.0,True,13.0,18.0,British Grand Prix,2019
4,SOFT,1.0,True,20.0,16.0,British Grand Prix,2019
5,SOFT,6.0,False,12.0,9.0,British Grand Prix,2019
6,SOFT,1.0,True,9.0,17.0,British Grand Prix,2019
