,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
13,MEDIUM,1.0,True,14.0,14.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
14,SOFT,1.0,True,15.0,19.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
15,MEDIUM,1.0,True,16.0,17.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
16,MEDIUM,1.0,True,17.0,18.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
17,MEDIUM,1.0,True,18.0,15.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
18,MEDIUM,1.0,True,19.0,11.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
19,SOFT,4.0,False,20.0,8.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
0,MEDIUM,1.0,True,17.0,0.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
1,SOFT,4.0,False,6.0,5.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
2,MEDIUM,1.0,True,5.0,8.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
3,SOFT,1.0,True,9.0,13.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
4,SOFT,4.0,False,13.0,12.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
5,SOFT,1.0,True,11.0,11.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
6,SOFT,6.0,False,19.0,6.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
7,SOFT,1.0,True,14.0,15.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
8,SOFT,1.0,True,20.0,10.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
9,SOFT,5.0,False,4.0,4.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
10,SOFT,6.0,False,8.0,7.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
11,SOFT,5.0,False,2.0,2.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
12,SOFT,6.0,False,3.0,3.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
13,SOFT,1.0,True,7.0,9.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
14,MEDIUM,1.0,True,15.0,16.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
15,SOFT,4.0,False,10.0,0.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
16,SOFT,4.0,False,1.0,1.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
17,MEDIUM,1.0,True,18.0,14.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
18,MEDIUM,1.0,True,16.0,0.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
19,SOFT,4.0,False,12.0,17.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
0,SOFT,4.0,False,6.0,6.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
1,SOFT,1.0,True,15.0,15.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
2,SOFT,4.0,False,5.0,5.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
3,MEDIUM,1.0,True,19.0,16.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
