,Compound,TyreLife,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
71,0,1.0,16.0,16.0,10,2023,22.1,51.0,1001.4,0,36.2,2.7
72,1,1.0,8.0,8.0,10,2023,22.1,51.0,1001.4,0,36.2,2.7
73,1,1.0,15.0,17.0,10,2023,22.1,51.0,1001.4,0,36.2,2.7
74,2,1.0,13.0,11.0,10,2023,22.1,51.0,1001.4,0,36.2,2.7
75,0,1.0,20.0,13.0,10,2023,22.1,51.0,1001.4,0,36.2,2.7
76,1,1.0,2.0,2.0,10,2023,22.1,51.0,1001.4,0,36.2,2.7
77,1,1.0,3.0,7.0,10,2023,22.1,51.0,1001.4,0,36.2,2.7
78,1,1.0,10.0,5.0,10,2023,22.1,51.0,1001.4,0,36.2,2.7
79,0,4.0,5.0,6.0,10,2023,22.1,51.0,1001.4,0,36.2,2.7
80,2,1.0,12.0,20.0,10,2023,22.1,51.0,1001.4,0,36.2,2.7
81,1,1.0,4.0,3.0,10,2023,22.1,51.0,1001.4,0,36.2,2.7
82,1,4.0,1.0,2.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
83,1,1.0,2.0,3.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
84,2,4.0,3.0,9.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
85,1,4.0,4.0,1.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
86,1,3.0,5.0,4.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
87,2,1.0,6.0,18.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
88,1,4.0,7.0,6.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
89,0,1.0,8.0,11.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
90,1,4.0,9.0,8.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
91,0,1.0,10.0,14.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
92,1,1.0,11.0,16.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
93,1,4.0,12.0,7.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
94,1,4.0,13.0,13.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
95,1,4.0,14.0,10.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
96,0,1.0,15.0,17.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
97,1,4.0,16.0,5.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
98,1,1.0,17.0,19.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
99,1,1.0,18.0,20.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
100,1,4.0,19.0,12.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
101,0,1.0,20.0,15.0,11,2023,28.0,34.0,989.0,0,50.9,1.8
102,0,1.0,1.0,6.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
103,0,1.0,2.0,2.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
104,0,1.0,3.0,1.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
105,0,1.0,4.0,3.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
106,1,1.0,5.0,9.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
107,1,1.0,6.0,8.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
108,1,1.0,7.0,7.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
109,0,1.0,8.0,14.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
110,1,1.0,9.0,10.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
111,1,1.0,10.0,11.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
112,0,1.0,11.0,12.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
113,0,1.0,12.0,13.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
114,0,1.0,13.0,17.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
115,0,1.0,14.0,15.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
116,0,1.0,15.0,16.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
117,0,1.0,16.0,19.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
118,0,1.0,17.0,18.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
119,1,1.0,18.0,0.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
120,0,1.0,19.0,4.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
121,1,1.0,20.0,5.0,12,2023,17.0,66.0,966.5,0,26.3,2.5
122,0,1.0,1.0,1.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
123,0,1.0,3.0,12.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
124,0,1.0,4.0,7.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
125,0,1.0,2.0,5.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
126,0,1.0,19.0,9.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
127,0,1.0,11.0,11.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
128,0,1.0,20.0,10.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
129,0,1.0,16.0,0.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
130,0,1.0,15.0,17.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
131,0,1.0,8.0,4.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
132,0,1.0,18.0,15.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
133,0,1.0,12.0,14.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
134,0,1.0,10.0,16.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
135,0,1.0,7.0,2.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
136,0,1.0,13.0,19.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
137,1,1.0,6.0,13.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
138,0,1.0,5.0,6.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
139,0,1.0,17.0,3.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
140,0,1.0,14.0,18.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
141,0,1.0,9.0,8.0,13,2023,17.4,68.0,1007.4,0,25.5,2.7
142,1,1.0,1.0,2.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
143,1,1.0,15.0,17.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
144,1,1.0,2.0,5.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
145,1,1.0,9.0,10.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
146,1,1.0,4.0,3.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
147,1,1.0,16.0,20.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
148,1,4.0,13.0,15.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
149,2,5.0,18.0,19.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
